Date Elicited,utterance,morphemes,gloss,translation,comments,,tags,CheckedWithConsultant,source/publication,a.field-with*dangerous characters (for import)
5/7/2010,Noqata qan qaparinaywanki.,Noqa-ta qan qapari-nay-wanki,me-ACC you-NOM yell-DES-2SG.1OM,`I feel like yelling at you.’,,,Impulsatives Person agreement,Seberina,Cusco Quechua
5/7/2010,Suwanayki Josefina,Suwa-nay-ki Josefina,steal.1-2 Josefina-NOM,,"Even tho I checked steal to have object marking, I think that naya pattern doesn’t work because it is ditransitive",,Impulsative,Seberina,Cusco Quechua
5/7/2010,#suwanyaysunki,suwa-nay-ay-sunki,3-2OM,"decir una duda, tal vez querer robar",,,Impulsative,Seberina,Cusco Quechua
5/7/2010,*Payta suwanayan monikita,Pay-ta suwa-naya-n moniki-ta,he-ACC steal.naya.3SG little animal-ACC,He feels like stealing the little animal,,,Impulsative,Seberina,Cusco Quechua
5/7/2010,Payta suwanaywaran chei obejeta,Pay-ta suwa-nay-wa-ra-n chei obeje-ta,he-ACC steal-DES-1ob.pst.3SG that sheep-ACC,`He feels like stealing that sheep’,why first person object marking?,,Impulsative,Seberina,Cusco Quechua
5/7/2010,Victorta noqata qaparinaywani,Victor-ta noqa-ta qapari-nay-wa-ni,Victor-ACC me-ACC yell-DES-??,`I feel like yelling at Victor’,"wani isn’t anything, maybe I meant wan",,impulsative person agreement,Seberina,Cusco Quechua
5/7/2010,Erqekunata noqanchis qaparinaywanchis.,Erqe-kuna-ta noqa-nchis qapari-nay-wanchis,child-PL-ACC 1PL.incl yell-DES-3SG.1PLOM,`We feel like yelling at the children’,backwards agreement,,Impulsative person agreement,Seberina,Cusco Quechua
5/7/2010,Erqekunata noqayku qaparinaywanku.,Erqe-kuna-ta noqa-yku qapari-nay-wanku,child-PL-ACC 1PL.ex yell-DES-3PL.1PLexOM,`We feel like yelling at the children.’,backwards agreement,,Impulsative person agreement,Seberina,Cusco Quechua
5/7/2010,Erqe qankuna qaparinaywankichis,Erqe qan-kuna qapari-nay-wankichis,child you-PL yell-DES-3SG.2PLOM,`You guys feel like yelling at the child.’,no case marking?,,Impulsative Person agreement,Seberina,Cusco Quechua
5/7/2010,Qanta erqe qaparinaysunkichis,Qan-ta erqe qapari-nay-sunkichis,you-ACC child-NOM yell-DES-3PL.2PLOM,`You feel like yelling at the child.’,PL marking??,,Impulsative Person agreement,Seberina,Cusco Quechua
5/7/2010,Noqata payta qaparinaywanku,Noqa-ta pay-ta qapari-nay-wanku,I-ACC he-ACC yell-DES-3PL.1SGOM,`I feel like yelling at him.’,but its PLural agreement,,Impulsative Person agreement,Ricardo,Cusco Quechua
5/7/2010,*Noqata qaparinaykuni.,Noqa-ta qapari-nay-kuni,I-ACC yell-DES-refl.1SG,`I feel like yelling at myself.’,bad with reflexive!!,,Impulsative Person agreement reflexive,Ricardo,Cusco Quechua
5/7/2010,*Noqata qanta qaparinaywanki.,Noqa-ta qan-ta qapari-nay-wanki,me-ACC you-ACC yell-DES-2SG.1SGOM,`I feel like yelling at you.’,Seberina accepted this,,Impulsative Person agreement,Ricardo,Cusco Quechua
5/7/2010,Noqatawan qantawan qaprinaywanchis.,Noqa-ta-wan qan-ta-wan qapri-nay-wanchis,me-ACC.with you-ACC.with yell-DES-3SG.1PL.inclOM,`We feel like yelling at each other.’,,,Impulsative Person agreement reciprocal,Ricardo,Cusco Quechua
5/7/2010,*Noqata pay qaparinaywan.,Noqa-ta pay qapari-nay-wan,me-ACC he.hOM yell-DES-3SG.1SGOM,`I feel like yelling at him.’,Seberina accepted sOMething similar,,Impulsative Person agreement ,Ricardo,Cusco Quechua
5/7/2010,Noqata pay qapariyta munawan.,Noqa-ta pay qapari-yta muna-wan,me-ACC him-NOM yell-ACC want.3SG.1SGOM,`I feel like yelling at him.’,acc marking with want,,Periphrastic Impuslative ,Ricardo,Cusco Quechua
